date,subways_total_estimated_ridership,subways_of_comparable_pre_pandemic_day,buses_total_estimated_ridersip,buses_of_comparable_pre_pandemic_day,metro_north_total_estimated_ridership,metro_north_of_comparable_pre_pandemic_day,access_a_ride_total_scheduled_trips,access_a_ride_of_comparable_pre_pandemic_day,bridges_and_tunnels_total_traffic,bridges_and_tunnels_of_comparable_pre_pandemic_day,staten_island_railway_total_estimated_ridership,staten_island_railway_of_comparable_pre_pandemic_day,lirr_total_estimated_ridership,lirr_of_comparable_pre_pandemic_day
2020-03-01T00:00:00.000,2212965,0.97,984908,0.99,55826,0.59,19922,1.13,786961,0.98,1636,0.52,,
2020-03-02T00:00:00.000,5329915,0.96,2209066,0.99,180702,0.66,30338,1.02,874620,0.95,17140,1.07,321569,1.03
2020-03-03T00:00:00.000,5481103,0.98,2228608,0.99,190648,0.69,32767,1.1,882175,0.96,17453,1.09,319727,1.02
2020-03-04T00:00:00.000,5498809,0.99,2177165,0.97,192689,0.7,34297,1.15,905558,0.98,17136,1.07,311662,0.99
2020-03-05T00:00:00.000,5496453,0.99,2244515,1,194387,0.7,33209,1.12,929298,1.01,17203,1.08,307597,0.98
2020-03-06T00:00:00.000,5189447,0.93,2066743,0.92,205056,0.74,30970,1.04,945408,1.03,15285,0.96,289171,0.92
2020-03-07T00:00:00.000,2814637,0.92,1249085,0.94,75839,0.56,18117,1.07,827908,0.95,2445,0.48,106058,0.98
2020-03-08T00:00:00.000,2120656,0.93,957163,0.96,60800,0.64,19477,1.11,765084,0.95,1672,0.53,81565,0.94
2020-03-09T00:00:00.000,4973513,0.89,2124770,0.95,183953,0.67,29609,1,860073,0.93,16122,1.01,277001,0.88
2020-03-10T00:00:00.000,4867818,0.87,2111989,0.94,179050,0.65,31315,1.05,855585,0.93,15805,0.99,259324,0.83
2020-03-11T00:00:00.000,4697122,0.84,2112967,0.94,175074,0.63,32198,1.08,866706,0.94,15340,0.96,245798,0.78
2020-03-12T00:00:00.000,4149505,0.75,1938424,0.86,169548,0.61,30814,1.04,881188,0.96,14169,0.89,197178,0.63
2020-03-13T00:00:00.000,3484996,0.63,1715737,0.77,167176,0.61,26640,0.9,860419,0.93,11769,0.74,158582,0.51
2020-03-14T00:00:00.000,1670665,0.54,993287,0.75,39701,0.29,13394,0.79,631101,0.72,2135,0.42,44885,0.42
2020-03-15T00:00:00.000,1157711,0.51,711555,0.72,32641,0.35,12480,0.71,535988,0.66,1368,0.43,33407,0.38
2020-03-16T00:00:00.000,2178555,0.39,1237309,0.55,153262,0.56,21145,0.71,708870,0.77,5741,0.36,119333,0.38
2020-03-17T00:00:00.000,1788786,0.32,1094949,0.49,147391,0.53,18173,0.61,650445,0.71,4573,0.29,83578,0.27
2020-03-18T00:00:00.000,1625280,0.29,1059502,0.47,146118,0.53,15942,0.54,634853,0.69,4133,0.26,74883,0.24
2020-03-19T00:00:00.000,1422112,0.26,933602,0.42,144466,0.52,14116,0.47,569696,0.62,3452,0.22,59538,0.19
2020-03-20T00:00:00.000,1309125,0.24,868602,0.39,145160,0.53,12744,0.43,563262,0.61,3124,0.2,50021,0.16
2020-03-21T00:00:00.000,619618,0.2,411491,0.31,23700,0.17,6467,0.38,382993,0.44,1044,0.21,12438,0.12
2020-03-22T00:00:00.000,408723,0.18,73517,0.07,20830,0.22,4824,0.27,277051,0.34,641,0.2,8891,0.1
2020-03-23T00:00:00.000,709499,0.13,59321,0.03,139285,0.51,9902,0.33,361514,0.39,1639,0.1,30564,0.1
2020-03-24T00:00:00.000,741587,0.13,60334,0.03,139194,0.5,9133,0.31,395493,0.43,1727,0.11,29785,0.1
2020-03-25T00:00:00.000,690032,0.12,51769,0.02,138239,0.5,9512,0.32,375767,0.41,1572,0.1,26143,0.08
2020-03-26T00:00:00.000,680360,0.12,49970,0.02,138668,0.5,8795,0.3,390117,0.42,1563,0.1,23809,0.08
2020-03-27T00:00:00.000,656817,0.12,45514,0.02,138903,0.5,8409,0.28,396778,0.43,1495,0.09,20355,0.06
2020-03-28T00:00:00.000,332393,0.11,19745,0.01,19088,0.14,4491,0.27,240702,0.28,600,0.12,5279,0.05
2020-03-29T00:00:00.000,263700,0.12,14307,0.01,18152,0.19,3374,0.19,197154,0.24,419,0.13,4358,0.05
2020-03-30T00:00:00.000,545215,0.1,33659,0.02,137762,0.5,8084,0.27,344690,0.37,1140,0.07,19741,0.06
2020-03-31T00:00:00.000,508106,0.09,32211,0.01,137464,0.5,7672,0.26,337626,0.37,1043,0.07,16194,0.05
2020-04-01T00:00:00.000,513481,0.09,29373,0.01,9301,0.03,8151,0.28,342222,0.36,720,0.04,10548,0.03
2020-04-02T00:00:00.000,485586,0.09,26788,0.01,9493,0.03,7077,0.24,339734,0.36,882,0.05,10057,0.03
2020-04-03T00:00:00.000,483357,0.09,24418,0.01,9770,0.03,7794,0.27,340272,0.36,843,0.05,9657,0.03
2020-04-04T00:00:00.000,282278,0.09,13168,0.01,4452,0.03,4375,0.26,243323,0.27,425,0.08,3727,0.03
2020-04-05T00:00:00.000,227303,0.09,9748,0.01,3602,0.03,2763,0.15,209152,0.24,300,0.09,2969,0.03
2020-04-06T00:00:00.000,445454,0.08,22418,0.01,9832,0.03,7093,0.25,335769,0.36,819,0.05,10127,0.03
2020-04-07T00:00:00.000,434986,0.08,21623,0.01,9589,0.03,7041,0.24,335470,0.36,732,0.05,9312,0.03
2020-04-08T00:00:00.000,427485,0.08,20361,0.01,9293,0.03,6950,0.24,324882,0.35,721,0.04,9039,0.03
2020-04-09T00:00:00.000,404635,0.07,18734,0.01,8931,0.03,6243,0.22,303481,0.32,690,0.04,8413,0.03
2020-04-10T00:00:00.000,400275,0.07,17135,0.01,9574,0.03,5378,0.19,314100,0.33,672,0.04,8247,0.03
2020-04-11T00:00:00.000,257061,0.08,9718,0.01,4179,0.03,4235,0.25,254755,0.28,406,0.08,2749,0.02
2020-04-12T00:00:00.000,198399,0.08,7041,0.01,3281,0.03,2525,0.14,217871,0.25,294,0.09,2245,0.02
2020-04-13T00:00:00.000,363312,0.07,14408,0.01,8825,0.03,6205,0.21,284609,0.3,649,0.04,8192,0.03
2020-04-14T00:00:00.000,430155,0.08,17937,0.01,9592,0.03,6585,0.23,356104,0.38,791,0.05,8816,0.03
2020-04-15T00:00:00.000,419059,0.08,16895,0.01,9492,0.03,6928,0.24,340213,0.36,792,0.05,8596,0.03
2020-04-16T00:00:00.000,420223,0.08,16632,0.01,9528,0.03,6563,0.23,346342,0.37,790,0.05,8462,0.03
2020-04-17T00:00:00.000,432368,0.08,16350,0.01,9989,0.03,7048,0.24,378350,0.4,738,0.05,8271,0.03
2020-04-18T00:00:00.000,254453,0.08,8115,0.01,3966,0.03,4202,0.25,254735,0.28,339,0.07,2449,0.02
2020-04-19T00:00:00.000,224411,0.09,6929,0.01,3885,0.04,2742,0.15,276406,0.32,340,0.1,2159,0.02
2020-04-20T00:00:00.000,437852,0.08,16522,0.01,10063,0.04,7050,0.24,371776,0.4,770,0.05,8912,0.03
2020-04-21T00:00:00.000,422107,0.08,15231,0.01,9374,0.03,6613,0.23,356099,0.38,753,0.05,8264,0.03
2020-04-22T00:00:00.000,458781,0.08,16487,0.01,9694,0.03,7496,0.26,398703,0.42,793,0.05,8674,0.03
2020-04-23T00:00:00.000,453520,0.08,15786,0.01,9527,0.03,6969,0.24,386938,0.41,780,0.05,8425,0.03
2020-04-24T00:00:00.000,443956,0.08,14237,0.01,9722,0.03,7040,0.24,386935,0.41,688,0.04,7821,0.03
2020-04-25T00:00:00.000,295387,0.09,8832,0.01,4988,0.03,4719,0.28,350300,0.38,449,0.09,2869,0.03
2020-04-26T00:00:00.000,218787,0.09,5498,0.01,3496,0.03,2506,0.13,231541,0.27,309,0.09,1903,0.02
2020-04-27T00:00:00.000,462888,0.08,15283,0.01,10243,0.04,6922,0.24,384124,0.41,812,0.05,8828,0.03
2020-04-28T00:00:00.000,489247,0.09,16380,0.01,10531,0.04,7542,0.26,436347,0.46,826,0.05,9167,0.03
